TARIH	VALUE
2025-01-01 00:05:00.000	40,69755
2025-01-01 00:10:00.000	40,68935
2025-01-01 00:15:00.000	40,6245
2025-01-01 00:20:00.000	40,62314
2025-01-01 00:25:00.000	40,63272
2025-01-01 00:30:00.000	40,59795
2025-01-01 00:35:00.000	40,59581
2025-01-01 00:40:00.000	40,58683
2025-01-01 00:45:00.000	40,5669
2025-01-01 00:50:00.000	40,56574
2025-01-01 00:55:00.000	40,52903
2025-01-01 01:00:00.000	40,51398
2025-01-01 01:05:00.000	40,48978
2025-01-01 01:10:00.000	40,46301
2025-01-01 01:15:00.000	40,4765
2025-01-01 01:20:00.000	40,43626
2025-01-01 01:25:00.000	40,52318
2025-01-01 01:30:00.000	40,53314
2025-01-01 01:35:00.000	40,54135
2025-01-01 01:40:00.000	40,57084
2025-01-01 01:45:00.000	40,62534
2025-01-01 01:50:00.000	40,6142
2025-01-01 01:55:00.000	40,63002
2025-01-01 02:00:00.000	40,61655
2025-01-01 02:05:00.000	40,64681
2025-01-01 02:10:00.000	40,66088
2025-01-01 02:15:00.000	40,71461
2025-01-01 02:20:00.000	40,71363
2025-01-01 02:25:00.000	40,66968
2025-01-01 02:30:00.000	40,72144
2025-01-01 02:35:00.000	40,74469
2025-01-01 02:40:00.000	40,73512
2025-01-01 02:45:00.000	40,7185
2025-01-01 02:50:00.000	40,76149
2025-01-01 02:55:00.000	40,80035
2025-01-01 03:00:00.000	40,80798
2025-01-01 03:05:00.000	40,79625
2025-01-01 03:10:00.000	40,84411
2025-01-01 03:15:00.000	40,87674
2025-01-01 03:20:00.000	40,87028
2025-01-01 03:25:00.000	40,86539
2025-01-01 03:30:00.000	40,87693
2025-01-01 03:35:00.000	40,90058
2025-01-01 03:40:00.000	40,88866
2025-01-01 03:45:00.000	40,89042
2025-01-01 03:50:00.000	40,85819
2025-01-01 03:55:00.000	40,84764
2025-01-01 04:00:00.000	40,83184
2025-01-01 04:05:00.000	40,78985
2025-01-01 04:10:00.000	40,77578
2025-01-01 04:15:00.000	40,74102
2025-01-01 04:20:00.000	40,67519
2025-01-01 04:25:00.000	40,6586
2025-01-01 04:30:00.000	40,6215
2025-01-01 04:35:00.000	40,59865
2025-01-01 04:40:00.000	40,56701
2025-01-01 04:45:00.000	40,50333
2025-01-01 04:50:00.000	40,46447
2025-01-01 04:55:00.000	40,45237
2025-01-01 05:00:00.000	40,39826
2025-01-01 05:05:00.000	40,3598
2025-01-01 05:10:00.000	40,36663
2025-01-01 05:15:00.000	40,30706
2025-01-01 05:20:00.000	40,28732
2025-01-01 05:25:00.000	40,2635
2025-01-01 05:30:00.000	40,25513
2025-01-01 05:35:00.000	40,2092
2025-01-01 05:40:00.000	40,21997
2025-01-01 05:45:00.000	40,19613
2025-01-01 05:50:00.000	40,14259
2025-01-01 05:55:00.000	40,1428
2025-01-01 06:00:00.000	40,17016
2025-01-01 06:05:00.000	40,12308
2025-01-01 06:10:00.000	40,09752
2025-01-01 06:15:00.000	40,12272
2025-01-01 06:20:00.000	40,12859
2025-01-01 06:25:00.000	40,1065
2025-01-01 06:30:00.000	40,08677
2025-01-01 06:35:00.000	40,11862
2025-01-01 06:40:00.000	40,05124
2025-01-01 06:45:00.000	40,09678
2025-01-01 06:50:00.000	40,06494
2025-01-01 06:55:00.000	40,07254
2025-01-01 07:00:00.000	40,0618
2025-01-01 07:05:00.000	40,05769
2025-01-01 07:10:00.000	40,02254
2025-01-01 07:15:00.000	40,02666
2025-01-01 07:20:00.000	40,02958
2025-01-01 07:25:00.000	40,02002
2025-01-01 07:30:00.000	40,03212
2025-01-01 07:35:00.000	40,04659
2025-01-01 07:40:00.000	40,03115
2025-01-01 07:45:00.000	40,06144
2025-01-01 07:50:00.000	40,07647
2025-01-01 07:55:00.000	40,04071
2025-01-01 08:00:00.000	40,11418
2025-01-01 08:05:00.000	40,13117
