TARIH	VALUE
2025-01-01 00:05:00.000	21,92078
2025-01-01 00:10:00.000	21,91306
2025-01-01 00:15:00.000	21,92465
2025-01-01 00:20:00.000	21,9111
2025-01-01 00:25:00.000	21,90726
2025-01-01 00:30:00.000	21,90726
2025-01-01 00:35:00.000	21,89951
2025-01-01 00:40:00.000	21,89951
2025-01-01 00:45:00.000	21,89951
2025-01-01 00:50:00.000	21,88986
2025-01-01 00:55:00.000	21,88403
2025-01-01 01:00:00.000	21,88986
2025-01-01 01:05:00.000	21,87827
2025-01-01 01:10:00.000	21,88599
2025-01-01 01:15:00.000	21,87827
2025-01-01 01:20:00.000	21,88599
2025-01-01 01:25:00.000	21,87244
2025-01-01 01:30:00.000	21,87048
2025-01-01 01:35:00.000	21,86664
2025-01-01 01:40:00.000	21,87244
2025-01-01 01:45:00.000	21,85892
2025-01-01 01:50:00.000	21,87439
2025-01-01 01:55:00.000	21,87244
2025-01-01 02:00:00.000	21,86664
2025-01-01 02:05:00.000	21,87048
2025-01-01 02:10:00.000	21,86472
2025-01-01 02:15:00.000	21,84537
2025-01-01 02:20:00.000	21,8512
2025-01-01 02:25:00.000	21,86084
2025-01-01 02:30:00.000	21,85699
2025-01-01 02:35:00.000	21,85504
2025-01-01 02:40:00.000	21,84537
2025-01-01 02:45:00.000	21,86472
2025-01-01 02:50:00.000	21,8512
2025-01-01 02:55:00.000	21,84927
2025-01-01 03:00:00.000	21,84537
2025-01-01 03:05:00.000	21,85312
2025-01-01 03:10:00.000	21,84927
2025-01-01 03:15:00.000	21,82797
2025-01-01 03:20:00.000	21,84927
2025-01-01 03:25:00.000	21,84732
2025-01-01 03:30:00.000	21,83957
2025-01-01 03:35:00.000	21,82413
2025-01-01 03:40:00.000	21,8299
2025-01-01 03:45:00.000	21,82413
2025-01-01 03:50:00.000	21,82797
2025-01-01 03:55:00.000	21,82605
2025-01-01 04:00:00.000	21,81445
2025-01-01 04:05:00.000	21,81058
2025-01-01 04:10:00.000	21,81833
2025-01-01 04:15:00.000	21,81641
2025-01-01 04:20:00.000	21,81833
2025-01-01 04:25:00.000	21,80865
2025-01-01 04:30:00.000	21,80093
2025-01-01 04:35:00.000	21,80093
2025-01-01 04:40:00.000	21,79123
2025-01-01 04:45:00.000	21,80093
2025-01-01 04:50:00.000	21,80093
2025-01-01 04:55:00.000	21,79123
2025-01-01 05:00:00.000	21,79898
2025-01-01 05:05:00.000	21,77771
2025-01-01 05:10:00.000	21,78546
2025-01-01 05:15:00.000	21,78354
2025-01-01 05:20:00.000	21,79709
2025-01-01 05:25:00.000	21,78931
2025-01-01 05:30:00.000	21,76419
2025-01-01 05:35:00.000	21,79318
2025-01-01 05:40:00.000	21,77386
2025-01-01 05:45:00.000	21,77771
2025-01-01 05:50:00.000	21,80286
2025-01-01 05:55:00.000	21,79123
2025-01-01 06:00:00.000	21,76999
2025-01-01 06:05:00.000	21,78159
2025-01-01 06:10:00.000	21,76035
2025-01-01 06:15:00.000	21,75455
2025-01-01 06:20:00.000	21,75067
2025-01-01 06:25:00.000	21,76227
2025-01-01 06:30:00.000	21,76807
2025-01-01 06:35:00.000	21,75259
2025-01-01 06:40:00.000	21,7468
2025-01-01 06:45:00.000	21,72556
2025-01-01 06:50:00.000	21,72168
2025-01-01 06:55:00.000	21,74487
2025-01-01 07:00:00.000	21,73907
2025-01-01 07:05:00.000	21,73712
2025-01-01 07:10:00.000	21,73129
2025-01-01 07:15:00.000	21,71973
2025-01-01 07:20:00.000	21,72745
2025-01-01 07:25:00.000	21,72556
2025-01-01 07:30:00.000	21,72556
2025-01-01 07:35:00.000	21,7178
2025-01-01 07:40:00.000	21,71973
2025-01-01 07:45:00.000	21,71204
2025-01-01 07:50:00.000	21,71393
2025-01-01 07:55:00.000	21,72745
2025-01-01 08:00:00.000	21,70425
2025-01-01 08:05:00.000	21,70425
2025-01-01 08:10:00.000	21,70813
2025-01-01 08:15:00.000	21,70425
2025-01-01 08:20:00.000	21,60571
2025-01-01 08:25:00.000	21,5014
2025-01-01 08:30:00.000	21,43765
2025-01-01 08:35:00.000	21,38748
2025-01-01 08:40:00.000	21,36047
2025-01-01 08:45:00.000	21,33533
2025-01-01 08:50:00.000	21,3064
2025-01-01 08:55:00.000	21,33151
2025-01-01 09:00:00.000	21,345
2025-01-01 09:05:00.000	21,37204
2025-01-01 09:10:00.000	21,37976
2025-01-01 09:15:00.000	21,36435
2025-01-01 09:20:00.000	21,36624
2025-01-01 09:25:00.000	21,35852
2025-01-01 09:30:00.000	21,35269
2025-01-01 09:35:00.000	21,345
2025-01-01 09:40:00.000	21,33728
2025-01-01 09:45:00.000	21,32376
2025-01-01 09:50:00.000	21,30832
2025-01-01 09:55:00.000	21,30444
2025-01-01 10:00:00.000	21,30063
2025-01-01 10:05:00.000	21,29868
2025-01-01 10:10:00.000	21,27744
2025-01-01 10:15:00.000	21,25623
2025-01-01 10:20:00.000	21,25043
2025-01-01 10:25:00.000	21,25427
2025-01-01 10:30:00.000	21,24463
2025-01-01 10:35:00.000	21,23111
2025-01-01 10:40:00.000	21,20987
2025-01-01 10:45:00.000	21,20407
2025-01-01 10:50:00.000	21,20602
2025-01-01 10:55:00.000	21,17126
2025-01-01 11:00:00.000	21,18478
2025-01-01 11:05:00.000	21,16745
2025-01-01 11:10:00.000	21,1655
2025-01-01 11:15:00.000	21,13269
2025-01-01 11:20:00.000	21,14236
2025-01-01 11:25:00.000	21,14429
2025-01-01 11:30:00.000	21,12692
2025-01-01 11:35:00.000	21,10184
2025-01-01 11:40:00.000	21,1134
2025-01-01 11:45:00.000	21,10184
2025-01-01 11:50:00.000	21,09796
2025-01-01 11:55:00.000	21,09021
2025-01-01 12:00:00.000	21,08252
2025-01-01 12:05:00.000	21,0632
2025-01-01 12:10:00.000	21,04971
2025-01-01 12:15:00.000	21,04395
2025-01-01 12:20:00.000	21,03619
2025-01-01 12:25:00.000	21,02271
2025-01-01 12:30:00.000	21,02658
2025-01-01 12:35:00.000	21,0015
2025-01-01 12:40:00.000	21,00345
2025-01-01 12:45:00.000	21,0015
2025-01-01 12:50:00.000	21,0015
2025-01-01 12:55:00.000	20,9841
2025-01-01 13:00:00.000	20,95517
2025-01-01 13:05:00.000	20,9668
2025-01-01 13:10:00.000	20,95905
2025-01-01 13:15:00.000	20,90118
2025-01-01 13:20:00.000	20,93784
2025-01-01 13:25:00.000	20,92239
2025-01-01 13:30:00.000	20,92239
2025-01-01 13:35:00.000	20,90698
2025-01-01 13:40:00.000	20,89542
2025-01-01 13:45:00.000	20,89157
2025-01-01 13:50:00.000	20,85104
2025-01-01 13:55:00.000	20,8588
2025-01-01 14:00:00.000	20,84332
2025-01-01 14:05:00.000	20,85104
2025-01-01 14:10:00.000	20,83948
2025-01-01 14:15:00.000	20,84528
2025-01-01 14:20:00.000	20,82211
2025-01-01 14:25:00.000	20,80478
2025-01-01 14:30:00.000	20,79706
2025-01-01 14:35:00.000	20,81058
2025-01-01 14:40:00.000	20,78549
2025-01-01 14:45:00.000	20,77585
2025-01-01 14:50:00.000	20,7662
2025-01-01 14:55:00.000	20,75464
2025-01-01 15:00:00.000	20,76041
2025-01-01 15:05:00.000	20,74307
2025-01-01 15:10:00.000	20,74115
2025-01-01 15:15:00.000	20,73535
2025-01-01 15:20:00.000	20,72186
2025-01-01 15:25:00.000	20,70642
2025-01-01 15:30:00.000	20,68524
2025-01-01 15:35:00.000	20,67752
2025-01-01 15:40:00.000	20,67368
2025-01-01 15:45:00.000	20,69489
2025-01-01 15:50:00.000	20,66595
2025-01-01 15:55:00.000	20,66016
2025-01-01 16:00:00.000	20,65244
2025-01-01 16:05:00.000	20,65631
2025-01-01 16:10:00.000	20,65051
2025-01-01 16:15:00.000	20,63895
2025-01-01 16:20:00.000	20,63126
2025-01-01 16:25:00.000	20,60809
2025-01-01 16:30:00.000	20,58115
2025-01-01 16:35:00.000	20,59845
2025-01-01 16:40:00.000	20,57343
2025-01-01 16:45:00.000	20,57922
2025-01-01 16:50:00.000	20,5946
2025-01-01 16:55:00.000	20,5773
2025-01-01 17:00:00.000	20,58115
2025-01-01 17:05:00.000	20,58499
2025-01-01 17:10:00.000	20,57922
2025-01-01 17:15:00.000	20,5773
2025-01-01 17:20:00.000	20,57343
2025-01-01 17:25:00.000	20,56186
2025-01-01 17:30:00.000	20,58115
2025-01-01 17:35:00.000	20,58499
2025-01-01 17:40:00.000	20,59268
2025-01-01 17:45:00.000	20,59076
2025-01-01 17:50:00.000	20,59076
2025-01-01 17:55:00.000	20,60617
2025-01-01 18:00:00.000	20,61005
2025-01-01 18:05:00.000	20,59653
2025-01-01 18:10:00.000	20,60233
2025-01-01 18:15:00.000	20,6004
2025-01-01 18:20:00.000	20,61392
2025-01-01 18:25:00.000	20,5946
2025-01-01 18:30:00.000	20,62933
2025-01-01 18:35:00.000	20,61777
2025-01-01 18:40:00.000	20,61197
2025-01-01 18:45:00.000	20,61581
2025-01-01 18:50:00.000	20,61969
2025-01-01 18:55:00.000	20,61581
2025-01-01 19:00:00.000	20,62741
2025-01-01 19:05:00.000	20,63126
2025-01-01 19:10:00.000	20,63318
2025-01-01 19:15:00.000	20,61777
2025-01-01 19:20:00.000	20,62161
2025-01-01 19:25:00.000	20,6351
2025-01-01 19:30:00.000	20,62933
2025-01-01 19:35:00.000	20,61005
2025-01-01 19:40:00.000	20,62546
2025-01-01 19:45:00.000	20,62546
2025-01-01 19:50:00.000	20,6351
2025-01-01 19:55:00.000	20,63318
2025-01-01 20:00:00.000	20,62741
2025-01-01 20:05:00.000	20,62933
2025-01-01 20:10:00.000	20,61777
2025-01-01 20:15:00.000	20,62933
2025-01-01 20:20:00.000	20,61969
2025-01-01 20:25:00.000	20,62741
2025-01-01 20:30:00.000	20,63895
2025-01-01 20:35:00.000	20,62161
2025-01-01 20:40:00.000	20,62741
2025-01-01 20:45:00.000	20,60809
2025-01-01 20:50:00.000	20,61005
2025-01-01 20:55:00.000	20,61197
2025-01-01 21:00:00.000	20,61197
2025-01-01 21:05:00.000	20,61777
2025-01-01 21:10:00.000	20,61581
2025-01-01 21:15:00.000	20,6004
2025-01-01 21:20:00.000	20,59653
2025-01-01 21:25:00.000	20,59845
2025-01-01 21:30:00.000	20,60233
2025-01-01 21:35:00.000	20,6004
2025-01-01 21:40:00.000	20,59845
2025-01-01 21:45:00.000	20,58887
2025-01-01 21:50:00.000	20,5946
2025-01-01 21:55:00.000	20,58307
2025-01-01 22:00:00.000	20,58307
2025-01-01 22:05:00.000	20,6004
2025-01-01 22:10:00.000	20,59268
2025-01-01 22:15:00.000	20,58887
2025-01-01 22:20:00.000	20,58887
2025-01-01 22:25:00.000	20,58307
2025-01-01 22:30:00.000	20,5773
2025-01-01 22:35:00.000	20,57922
2025-01-01 22:40:00.000	20,5715
2025-01-01 22:45:00.000	20,56378
2025-01-01 22:50:00.000	20,56766
2025-01-01 22:55:00.000	20,55029
2025-01-01 23:00:00.000	20,55801
2025-01-01 23:05:00.000	20,55609
2025-01-01 23:10:00.000	20,55609
2025-01-01 23:15:00.000	20,56573
2025-01-01 23:20:00.000	20,55994
2025-01-01 23:25:00.000	20,56378
2025-01-01 23:30:00.000	20,55414
2025-01-01 23:35:00.000	20,56766
2025-01-01 23:40:00.000	20,56186
2025-01-01 23:45:00.000	20,54257
2025-01-01 23:50:00.000	20,55414
2025-01-01 23:55:00.000	20,54645
2025-01-02 00:00:00.000	20,55609
2025-01-02 00:05:00.000	20,54065
2025-01-02 00:10:00.000	20,54645
2025-01-02 00:15:00.000	20,54645
2025-01-02 00:20:00.000	20,53873
2025-01-02 00:25:00.000	20,53296
2025-01-02 00:30:00.000	20,52716
2025-01-02 00:35:00.000	20,53101
2025-01-02 00:40:00.000	20,52908
2025-01-02 00:45:00.000	20,52716
2025-01-02 00:50:00.000	20,52335
2025-01-02 00:55:00.000	20,5195
2025-01-02 01:00:00.000	20,51559
2025-01-02 01:05:00.000	20,51367
2025-01-02 01:10:00.000	20,50787
2025-01-02 01:15:00.000	20,50211
2025-01-02 01:20:00.000	20,50983
2025-01-02 01:25:00.000	20,49054
2025-01-02 01:30:00.000	20,48282
2025-01-02 01:35:00.000	20,48474
2025-01-02 01:40:00.000	20,48862
2025-01-02 01:45:00.000	20,4809
2025-01-02 01:50:00.000	20,47125
2025-01-02 01:55:00.000	20,46741
2025-01-02 02:00:00.000	20,46356
2025-01-02 02:05:00.000	20,46356
2025-01-02 02:10:00.000	20,45392
2025-01-02 02:15:00.000	20,44431
2025-01-02 02:20:00.000	20,44815
2025-01-02 02:25:00.000	20,43851
2025-01-02 02:30:00.000	20,42886
2025-01-02 02:35:00.000	20,42886
2025-01-02 02:40:00.000	20,43466
2025-01-02 02:45:00.000	20,41733
2025-01-02 02:50:00.000	20,40961
2025-01-02 02:55:00.000	20,41345
2025-01-02 03:00:00.000	20,40576
2025-01-02 03:05:00.000	20,41733
2025-01-02 03:10:00.000	20,41153
2025-01-02 03:15:00.000	20,40384
2025-01-02 03:20:00.000	20,40192
2025-01-02 03:25:00.000	20,39999
2025-01-02 03:30:00.000	20,38074
2025-01-02 03:35:00.000	20,37302
2025-01-02 03:40:00.000	20,38074
2025-01-02 03:45:00.000	20,37878
2025-01-02 03:50:00.000	20,38266
2025-01-02 03:55:00.000	20,36334
2025-01-02 04:00:00.000	20,36142
2025-01-02 04:05:00.000	20,36142
2025-01-02 04:10:00.000	20,35181
2025-01-02 04:15:00.000	20,34601
2025-01-02 04:20:00.000	20,34216
2025-01-02 04:25:00.000	20,34796
2025-01-02 04:30:00.000	20,33832
2025-01-02 04:35:00.000	20,3364
2025-01-02 04:40:00.000	20,32098
2025-01-02 04:45:00.000	20,31906
2025-01-02 04:50:00.000	20,30942
2025-01-02 04:55:00.000	20,31326
2025-01-02 05:00:00.000	20,31714
2025-01-02 05:05:00.000	20,3075
2025-01-02 05:10:00.000	20,29977
2025-01-02 05:15:00.000	20,28824
2025-01-02 05:20:00.000	20,28055
2025-01-02 05:25:00.000	20,28241
2025-01-02 05:30:00.000	20,27475
2025-01-02 05:35:00.000	20,26703
2025-01-02 05:40:00.000	20,26511
2025-01-02 05:45:00.000	20,24969
2025-01-02 05:50:00.000	20,25742
2025-01-02 05:55:00.000	20,24197
2025-01-02 06:00:00.000	20,23621
2025-01-02 06:05:00.000	20,23621
2025-01-02 06:10:00.000	20,20346
2025-01-02 06:15:00.000	20,22659
2025-01-02 06:20:00.000	20,22079
2025-01-02 06:25:00.000	20,20346
2025-01-02 06:30:00.000	20,20926
2025-01-02 06:35:00.000	20,20346
2025-01-02 06:40:00.000	20,19
2025-01-02 06:45:00.000	20,19193
2025-01-02 06:50:00.000	20,18616
2025-01-02 06:55:00.000	20,18033
2025-01-02 07:00:00.000	20,16687
2025-01-02 07:05:00.000	20,15338
2025-01-02 07:10:00.000	20,15723
2025-01-02 07:15:00.000	20,13992
2025-01-02 07:20:00.000	20,1264
2025-01-02 07:25:00.000	20,13992
2025-01-02 07:30:00.000	20,12833
2025-01-02 07:35:00.000	20,1264
2025-01-02 07:40:00.000	20,11484
2025-01-02 07:45:00.000	20,10522
2025-01-02 07:50:00.000	20,10715
2025-01-02 07:55:00.000	20,10135
2025-01-02 08:00:00.000	20,08405
2025-01-02 08:05:00.000	20,09369
2025-01-02 08:10:00.000	20,06671
2025-01-02 08:15:00.000	20,06671
2025-01-02 08:20:00.000	20,05902
2025-01-02 08:25:00.000	20,0513
2025-01-02 08:30:00.000	20,04938
2025-01-02 08:35:00.000	20,03397
2025-01-02 08:40:00.000	20,02628
2025-01-02 08:45:00.000	20,0282
2025-01-02 08:50:00.000	20,01471
2025-01-02 08:55:00.000	20,02435
2025-01-02 09:00:00.000	20,01471
2025-01-02 09:05:00.000	20,00314
2025-01-02 09:10:00.000	19,99545
2025-01-02 09:15:00.000	20,00122
2025-01-02 09:20:00.000	19,98004
2025-01-02 09:25:00.000	19,98193
2025-01-02 09:30:00.000	19,97623
2025-01-02 09:35:00.000	19,95694
2025-01-02 09:40:00.000	19,95306
2025-01-02 09:45:00.000	19,94345
2025-01-02 09:50:00.000	19,93961
2025-01-02 09:55:00.000	19,92609
2025-01-02 10:00:00.000	19,93768
2025-01-02 10:05:00.000	19,92032
2025-01-02 10:10:00.000	19,90686
2025-01-02 10:15:00.000	19,92224
2025-01-02 10:20:00.000	19,91074
2025-01-02 10:25:00.000	19,89337
2025-01-02 10:30:00.000	19,88953
2025-01-02 10:35:00.000	19,89145
2025-01-02 10:40:00.000	19,87607
2025-01-02 10:45:00.000	19,86642
2025-01-02 10:50:00.000	19,87219
2025-01-02 10:55:00.000	19,8587
2025-01-02 11:00:00.000	19,85678
2025-01-02 11:05:00.000	19,84909
2025-01-02 11:10:00.000	19,82602
2025-01-02 11:15:00.000	19,82022
2025-01-02 11:20:00.000	19,82214
2025-01-02 11:25:00.000	19,81058
2025-01-02 11:30:00.000	19,79904
2025-01-02 11:35:00.000	19,8125
2025-01-02 11:40:00.000	19,7952
2025-01-02 11:45:00.000	19,77594
2025-01-02 11:50:00.000	19,78168
2025-01-02 11:55:00.000	19,77399
2025-01-02 12:00:00.000	19,76822
2025-01-02 12:05:00.000	19,76242
2025-01-02 12:10:00.000	19,76242
2025-01-02 12:15:00.000	19,76053
2025-01-02 12:20:00.000	19,73358
2025-01-02 12:25:00.000	19,72394
2025-01-02 12:30:00.000	19,71817
2025-01-02 12:35:00.000	19,7066
2025-01-02 12:40:00.000	19,71045
2025-01-02 12:45:00.000	19,69891
2025-01-02 12:50:00.000	19,69315
2025-01-02 12:55:00.000	19,6893
2025-01-02 13:00:00.000	19,6835
2025-01-02 13:05:00.000	19,67776
2025-01-02 13:10:00.000	19,67194
2025-01-02 13:15:00.000	19,66235
2025-01-02 13:20:00.000	19,65848
2025-01-02 13:25:00.000	19,63541
2025-01-02 13:30:00.000	19,64114
2025-01-02 13:35:00.000	19,63345
2025-01-02 13:40:00.000	19,62
2025-01-02 13:45:00.000	19,61612
2025-01-02 13:50:00.000	19,61612
2025-01-02 13:55:00.000	19,60843
2025-01-02 14:00:00.000	19,59689
2025-01-02 14:05:00.000	19,58722
2025-01-02 14:10:00.000	19,57181
2025-01-02 14:15:00.000	19,5603
2025-01-02 14:20:00.000	19,55838
2025-01-02 14:25:00.000	19,5545
2025-01-02 14:30:00.000	19,54108
2025-01-02 14:35:00.000	19,5314
2025-01-02 14:40:00.000	19,52567
2025-01-02 14:45:00.000	19,51797
2025-01-02 14:50:00.000	19,5141
2025-01-02 14:55:00.000	19,51987
2025-01-02 15:00:00.000	19,491
2025-01-02 15:05:00.000	19,48331
2025-01-02 15:10:00.000	19,47366
2025-01-02 15:15:00.000	19,47174
2025-01-02 15:20:00.000	19,44672
2025-01-02 15:25:00.000	19,46017
2025-01-02 15:30:00.000	19,44479
2025-01-02 15:35:00.000	19,42941
2025-01-02 15:40:00.000	19,43518
2025-01-02 15:45:00.000	19,43518
2025-01-02 15:50:00.000	19,41589
2025-01-02 15:55:00.000	19,41589
2025-01-02 16:00:00.000	19,41785
2025-01-02 16:05:00.000	19,40628
2025-01-02 16:10:00.000	19,40247
2025-01-02 16:15:00.000	19,3909
2025-01-02 16:20:00.000	19,37357
2025-01-02 16:25:00.000	19,38126
2025-01-02 16:30:00.000	19,37744
2025-01-02 16:35:00.000	19,38318
2025-01-02 16:40:00.000	19,36398
2025-01-02 16:45:00.000	19,36972
2025-01-02 16:50:00.000	19,36398
2025-01-02 16:55:00.000	19,34473
2025-01-02 17:00:00.000	19,34085
2025-01-02 17:05:00.000	19,34665
2025-01-02 17:10:00.000	19,33121
2025-01-02 17:15:00.000	19,33896
2025-01-02 17:20:00.000	19,33508
2025-01-02 17:25:00.000	19,33896
2025-01-02 17:30:00.000	19,33508
2025-01-02 17:35:00.000	19,33121
2025-01-02 17:40:00.000	19,31967
2025-01-02 17:45:00.000	19,30811
2025-01-02 17:50:00.000	19,31198
2025-01-02 17:55:00.000	19,3139
2025-01-02 18:00:00.000	19,30429
2025-01-02 18:05:00.000	19,31006
2025-01-02 18:10:00.000	19,28506
2025-01-02 18:15:00.000	19,28888
2025-01-02 18:20:00.000	19,28506
2025-01-02 18:25:00.000	19,27734
2025-01-02 18:30:00.000	19,28506
2025-01-02 18:35:00.000	19,28116
2025-01-02 18:40:00.000	19,27155
2025-01-02 18:45:00.000	19,27347
2025-01-02 18:50:00.000	19,27347
2025-01-02 18:55:00.000	19,2677
2025-01-02 19:00:00.000	19,26389
2025-01-02 19:05:00.000	19,27542
2025-01-02 19:10:00.000	19,27734
2025-01-02 19:15:00.000	19,29465
2025-01-02 19:20:00.000	19,2908
2025-01-02 19:25:00.000	19,29276
2025-01-02 19:30:00.000	19,29465
2025-01-02 19:35:00.000	19,2908
2025-01-02 19:40:00.000	19,30045
2025-01-02 19:45:00.000	19,29852
2025-01-02 19:50:00.000	19,32162
2025-01-02 19:55:00.000	19,32162
2025-01-02 20:00:00.000	19,29276
2025-01-02 20:05:00.000	19,30234
2025-01-02 20:10:00.000	19,30234
2025-01-02 20:15:00.000	19,30811
2025-01-02 20:20:00.000	19,29465
2025-01-02 20:25:00.000	19,29465
2025-01-02 20:30:00.000	19,31006
2025-01-02 20:35:00.000	19,29657
2025-01-02 20:40:00.000	19,30045
2025-01-02 20:45:00.000	19,29465
2025-01-02 20:50:00.000	19,32355
2025-01-02 20:55:00.000	19,30045
2025-01-02 21:00:00.000	19,30429
2025-01-02 21:05:00.000	19,31967
2025-01-02 21:10:00.000	19,30429
2025-01-02 21:15:00.000	19,30234
2025-01-02 21:20:00.000	19,30234
2025-01-02 21:25:00.000	19,30429
2025-01-02 21:30:00.000	19,30621
2025-01-02 21:35:00.000	19,3139
2025-01-02 21:40:00.000	19,30045
2025-01-02 21:45:00.000	19,29276
2025-01-02 21:50:00.000	19,2908
2025-01-02 21:55:00.000	19,31198
2025-01-02 22:00:00.000	19,31006
2025-01-02 22:05:00.000	19,30429
2025-01-02 22:10:00.000	19,29852
2025-01-02 22:15:00.000	19,29852
2025-01-02 22:20:00.000	19,27734
2025-01-02 22:25:00.000	19,27734
2025-01-02 22:30:00.000	19,30045
2025-01-02 22:35:00.000	19,30429
2025-01-02 22:40:00.000	19,2908
2025-01-02 22:45:00.000	19,29657
2025-01-02 22:50:00.000	19,30811
2025-01-02 22:55:00.000	19,29465
2025-01-02 23:00:00.000	19,28888
