time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2024-05-23 00:00:00,20.9,14.5,67.0,0.0,,82.0,3.6,,1009.6,,1.0
2024-05-23 01:00:00,20.8,13.7,64.0,0.0,,97.0,4.3,,1009.2,,1.0
2024-05-23 02:00:00,20.6,13.3,63.0,0.0,,64.0,4.3,,1009.2,,1.0
2024-05-23 03:00:00,18.1,13.8,76.0,0.0,,340.0,4.7,,1009.3,,1.0
2024-05-23 04:00:00,19.5,13.4,68.0,0.0,,341.0,4.0,,1009.1,,1.0
2024-05-23 05:00:00,20.9,14.8,68.0,0.0,,318.0,6.5,,1009.8,,1.0
2024-05-23 06:00:00,22.7,14.8,61.0,0.0,,318.0,6.1,,1009.7,,1.0
2024-05-23 07:00:00,24.5,15.1,56.0,0.0,,306.0,19.4,,1010.3,,1.0
2024-05-23 08:00:00,23.3,14.5,58.0,0.4,,314.0,14.8,,1010.4,,17.0
2024-05-23 09:00:00,23.3,15.6,62.0,0.0,,302.0,16.6,,1010.1,,3.0
2024-05-23 10:00:00,22.5,14.8,62.0,2.5,,291.0,18.0,,1010.7,,18.0
2024-05-23 11:00:00,22.2,15.0,64.0,0.3,,296.0,15.5,,1010.6,,8.0
2024-05-23 12:00:00,23.5,14.2,56.0,0.2,,311.0,16.6,,1010.3,,17.0
2024-05-23 13:00:00,24.1,14.5,55.0,0.2,,299.0,14.8,,1010.0,,17.0
2024-05-23 14:00:00,23.1,14.9,60.0,0.7,,298.0,13.0,,1010.1,,17.0
2024-05-23 15:00:00,22.9,14.2,58.0,0.0,,308.0,13.3,,1010.2,,3.0
2024-05-23 16:00:00,22.2,14.3,61.0,0.0,,318.0,16.6,,1010.4,,2.0
2024-05-23 17:00:00,21.0,15.3,70.0,0.0,,321.0,14.4,,1010.9,,1.0
2024-05-23 18:00:00,19.4,15.8,80.0,0.0,,310.0,12.6,,1011.8,,1.0
2024-05-23 19:00:00,18.5,16.5,88.0,0.0,,305.0,9.0,,1012.5,,1.0
2024-05-23 20:00:00,18.0,16.8,93.0,0.0,,316.0,7.6,,1012.8,,1.0
2024-05-23 21:00:00,17.6,16.8,95.0,0.0,,325.0,7.6,,1013.1,,1.0
2024-05-23 22:00:00,17.3,16.5,95.0,0.0,,334.0,7.2,,1013.0,,1.0
2024-05-23 23:00:00,17.0,16.2,95.0,0.0,,335.0,7.2,,1012.8,,1.0
2024-05-24 00:00:00,16.9,15.4,91.0,0.0,,330.0,7.2,,1012.6,,1.0
2024-05-24 01:00:00,16.4,15.1,92.0,0.0,,324.0,6.8,,1012.7,,1.0
2024-05-24 02:00:00,16.2,14.9,92.0,0.0,,337.0,7.2,,1012.7,,1.0
2024-05-24 03:00:00,15.9,14.4,91.0,0.0,,335.0,7.6,,1012.9,,1.0
2024-05-24 04:00:00,17.2,14.3,83.0,0.0,,329.0,7.6,,1013.3,,1.0
2024-05-24 05:00:00,19.5,13.0,66.0,0.0,,308.0,7.9,,1013.4,,1.0
2024-05-24 06:00:00,21.5,11.5,53.0,0.0,,328.0,12.2,,1013.5,,1.0
2024-05-24 07:00:00,23.5,10.5,44.0,0.0,,342.0,16.2,,1013.6,,1.0
2024-05-24 08:00:00,24.8,10.2,40.0,0.0,,350.0,21.6,,1013.3,,3.0
2024-05-24 09:00:00,25.7,9.5,36.0,0.0,,356.0,23.4,,1013.6,,2.0
2024-05-24 10:00:00,26.9,10.1,35.0,0.0,,338.0,21.2,,1013.3,,2.0
2024-05-24 11:00:00,27.3,10.4,35.0,0.0,,331.0,21.6,,1013.2,,2.0
2024-05-24 12:00:00,27.4,11.0,36.0,0.0,,324.0,22.3,,1013.3,,2.0
2024-05-24 13:00:00,26.9,11.3,38.0,0.0,,321.0,22.3,,1013.0,,2.0
2024-05-24 14:00:00,26.2,11.9,41.0,0.0,,322.0,23.4,,1012.9,,2.0
2024-05-24 15:00:00,25.5,12.0,43.0,0.0,,324.0,21.6,,1012.7,,2.0
2024-05-24 16:00:00,24.5,12.4,47.0,0.0,,318.0,20.5,,1012.8,,1.0
2024-05-24 17:00:00,22.9,13.6,56.0,0.0,,308.0,18.0,,1013.2,,1.0
2024-05-24 18:00:00,21.1,14.5,66.0,0.0,,306.0,14.0,,1013.5,,1.0
2024-05-24 19:00:00,20.0,15.0,73.0,0.0,,318.0,10.4,,1014.1,,1.0
2024-05-24 20:00:00,19.1,14.1,73.0,0.0,,330.0,8.3,,1014.2,,1.0
2024-05-24 21:00:00,18.3,13.8,75.0,0.0,,349.0,8.6,,1014.5,,1.0
2024-05-24 22:00:00,17.5,12.8,74.0,0.0,,4.0,8.6,,1014.5,,1.0
2024-05-24 23:00:00,17.0,12.7,76.0,0.0,,354.0,9.0,,1014.2,,1.0
2024-05-25 00:00:00,16.6,12.5,77.0,0.0,,356.0,9.4,,1014.3,,1.0
2024-05-25 01:00:00,16.3,12.4,78.0,0.0,,9.0,8.6,,1013.6,,1.0
2024-05-25 02:00:00,15.7,12.1,79.0,0.0,,7.0,8.6,,1013.3,,1.0
2024-05-25 03:00:00,15.3,11.3,77.0,0.0,,8.0,8.6,,1013.2,,1.0
2024-05-25 04:00:00,17.2,10.8,66.0,0.0,,4.0,9.7,,1013.7,,1.0
2024-05-25 05:00:00,20.3,10.9,55.0,0.0,,332.0,9.4,,1013.7,,1.0
2024-05-25 06:00:00,22.6,10.0,45.0,0.0,,339.0,13.0,,1013.7,,1.0
2024-05-25 07:00:00,24.2,8.5,37.0,0.0,,351.0,15.1,,1013.5,,1.0
2024-05-25 08:00:00,25.4,8.3,34.0,0.0,,355.0,16.9,,1013.0,,1.0
2024-05-25 09:00:00,26.6,9.0,33.0,0.0,,355.0,16.9,,1012.8,,1.0
2024-05-25 10:00:00,27.7,9.5,32.0,0.0,,3.0,16.9,,1012.1,,1.0
2024-05-25 11:00:00,28.9,9.0,29.0,0.0,,20.0,15.8,,1011.3,,1.0
2024-05-25 12:00:00,29.3,9.4,29.0,0.0,,17.0,16.6,,1010.9,,1.0
2024-05-25 13:00:00,29.6,8.0,26.0,0.0,,2.0,17.3,,1010.2,,1.0
2024-05-25 14:00:00,29.3,8.3,27.0,0.0,,342.0,19.4,,1009.9,,2.0
2024-05-25 15:00:00,28.5,8.7,29.0,0.0,,343.0,19.8,,1009.7,,1.0
2024-05-25 16:00:00,26.7,9.9,35.0,0.0,,11.0,17.3,,1009.7,,1.0
2024-05-25 17:00:00,25.0,10.0,39.0,0.0,,7.0,18.0,,1010.3,,1.0
2024-05-25 18:00:00,23.5,10.2,43.0,0.0,,355.0,16.6,,1010.9,,1.0
2024-05-25 19:00:00,22.3,10.1,46.0,0.0,,347.0,14.0,,1011.4,,3.0
2024-05-25 20:00:00,21.2,10.3,50.0,0.0,,340.0,13.3,,1011.4,,3.0
2024-05-25 21:00:00,19.8,11.8,60.0,0.0,,326.0,12.6,,1011.3,,3.0
2024-05-25 22:00:00,18.8,12.1,65.0,0.0,,329.0,11.2,,1011.1,,3.0
